日本冶金工業,"日本冶金工業株式会社（にっぽんやきんこうぎょう、英文表記:Nippon Yakin Kogyo Co.,Ltd.）は、東京都中央区京橋1丁目に本社をおく、東証1部上場のステンレス素材メーカー（鉄鋼メーカー）である。"
日立金属,"日立金属株式会社（ひたちきんぞく、Hitachi Metals, Ltd.）は、1956年（昭和31年）4月に日立製作所が全額出資して日立グループの鉄鋼業・金属部門を統合分立させた会社である。2013年（平成25年）7月、同じく1956年（昭和31年）に日立製作所から電線部門を分離して設立された日立電線株式会社を吸収合併した。"
日鐵住金建材,"日鐵住金建材株式会社（にってつすみきんけんざい、英文社名 Nippon Steel & Sumikin Metal Products Co., Ltd.）は、建築や土木分野に使用される鉄鋼製品を製造する企業である。新日鐵住金が出資する。"
八幡製鐵,"八幡製鐵株式會社（やわたせいてつ、英文社名 Yawata Iron & Steel Co., Ltd.）は、日本の大手鉄鋼メーカー新日鐵住金のかつての商号（会社名）である。1950年（昭和25年）に日本製鐵（日鉄）の後継会社として発足してから、1970年（昭和45年）に富士製鐵と合併して新日本製鐵（新日鉄：現・新日鐵住金）に商号を変更するまで、八幡製鐵を商号とした。この項目では、新日鐵住金が八幡製鐵という商号であったこの20年間について記述する。"
富士製鐵,"富士製鐵株式會社（ふじせいてつ、英文社名 Fuji Iron & Steel Co., Ltd.）は、かつて存在した日本の鉄鋼メーカー（高炉メーカー）である。略称は富士鉄（富士鐵、ふじてつ）。1950年（昭和25年）に、財閥解体により解体された日本製鐵（日鉄）の後継会社の一つとして発足。同じく日鉄の後継会社であった八幡製鐵と1970年（昭和45年）に合併し、新日本製鐵（新日鉄・現：新日鐵住金）となった。"
豊平製鋼,豊平製鋼株式会社（とよひらせいこう、英: Toyohira Steel Corporation.）は、かつて北海道札幌市に本社を置いていたJFEスチール完全子会社の電気炉メーカー。
北越メタル,"北越メタル株式会社（ほくえつメタル、英: HOKUETSU METAL Co., Ltd.）は、新潟県を拠点とする鉄鋼メーカー（電気炉メーカー）である。"
北海鋼機,北海鋼機株式会社（ほっかいこうき）は、北海道江別市を拠点とする表面処理鋼板メーカーである。
北海製鉄,北海製鉄株式会社（ほっかいせいてつ、英文社名 HOKKAI IRON & COKE CORPORATION）は、新日鐵住金傘下の鉄鋼メーカーである。当時の新日本製鐵（新日鉄）室蘭製鐵所の製銑部門を分離して設立された。
明鋼材,明鋼材株式会社（あきらこうざい）は、愛知県名古屋市に本社を置く、鉄鋼専門商社。
淀川製鋼所,"株式会社淀川製鋼所（よどがわせいこうしょ、英称：Yodogawa Steel Works, Ltd.）は、大阪府大阪市中央区南本町に本社を置く日本の鉄鋼メーカーである。1935年（昭和10年）創業ならびに設立。「淀川製鋼」や「ヨドコウ」とも称する。東証第1部に上場している（証券コード：5451）。"
鈴木金属工業,"鈴木金属工業株式会社（すずききんぞくこうぎょう、英: SUZUKI METAL INDUSTRY CO., LTD.）は、ピアノ線などの鋼線を製造する鉄鋼二次製品メーカー。新日鐵住金グループの企業である。"
